Price,KM
11250,58142
9950,57948
9700,57645
11950,57500
9900,57475
9990,56743
9475,56675
11500,55877
11950,55500
11500,54900
10500,54465
10900,53700
11700,53561
11900,53408
13950,53268
10950,53116
10500,52448
10750,52149
11950,52141
10000,52000
10495,50967
11450,50400
9400,50000
11950,50000
9650,49969
18950,49568
11450,49473
10250,49432
11450,49417
9950,49366
10500,48731
13750,48370
9950,48071
10250,47852
10850,47768
11895,47689
12950,47451
11950,47219
10750,47211
9550,46856
10950,46500
11750,46449
10950,46391
12450,46230
10500,46029
10900,46000
12950,45900
10950,45850
12500,45336
9950,44537
10750,43700
12500,43120
10450,41710
10750,41700
12950,41636
10995,41273
11950,40836
11250,40400
11950,40361
13750,40325
11000,40000
13500,39706
10950,39291
10750,39000
8950,38900
12950,38403
9750,37461
10900,37000
10995,36406
10750,36005
10950,36000
13000,36000
12950,36000
11500,35823
10950,35230
11710,35142
9980,34890
12250,34882
11500,34000
11950,33998
11500,33230
11900,33021
11930,31999
10500,31579
8950,31000
10450,30806
10500,30461
12950,29686
9950,29650
12900,29500
9950,28656
9950,27500
10950,26938
10950,26624
9950,26221
10950,22648
10800,22500
10500,19313
10450,17619
10600,17069
10450,15000
12950,10210
11250,5309
7500,1
8950,31000
6950,205000
7900,204250
5950,194545
7500,190900
7500,183500
6900,176184
5751,174833
6950,155720
7950,155500
7750,154783
7950,154462
8250,150585
6250,149000
9500,147636
6900,144521
8450,144000
7350,140168
8950,140000
6900,139800
8950,137050
8750,136956
7950,135337
8950,133769
8950,133405
8950,132807
7950,132393
7750,130270
7500,130000
8950,127000
9800,126800
9450,126452
8950,125175
8750,125000
10500,123000
7995,121626
10450,120400
9950,120000
9950,119541
8950,119500
7950,119289
10950,118833
9950,118000
8600,117955
7250,117609
6950,117000
8000,116000
9950,115715
9450,115191
7950,115071
9450,115000
9950,114846
6950,114383
8250,113700
9950,113118
8250,112827
9950,112116
10500,112000
7950,112000
9750,111769
9250,110853
9500,110287
9950,109547
7750,109230
9500,109150
9950,108793
9750,106784
9750,105942
5950,105000
8500,105000
8495,104299
9250,104000
6900,104000
8950,103458
9500,103400
9250,102807
9895,102494
9950,102300
7950,102106
8750,101889
8250,101791
8950,101469
8950,101001
8950,100748
8950,100550
9450,99781
8950,98658
9250,98500
8750,98291
9950,97648
9950,97425
9900,97173
8950,97046
8950,96000
12250,96000
9250,95750
10250,95147
8950,95000
7999,95000
9900,94606
8250,94504
10500,93428
8450,93408
9900,93296
10500,93098
8500,92922
9500,92498
9450,92226
9900,91505
8250,91333
8750,91246
9500,91000
8450,90727
8490,90000
8750,89576
9750,89145
9950,89000
8500,88807
8450,88685
7900,88667
8750,88480
7950,88127
6900,88000
8150,87821
10995,87654
8900,86888
9500,86871
8950,86714
11500,85889
10450,85000
10500,85000
9250,84976
10950,84558
10450,84549
9250,84482
8750,83908
8750,83560
9800,83000
8250,82723
10450,82421
9750,82254
8950,82115
7450,82000
8450,81965
8250,81250
10950,81192
8950,81170
8750,81083
10450,80714
10950,80470
8450,80439
9950,80430
9950,80426
8750,80265
9950,80153
9500,80121
8250,80086
10950,80000
7950,80000
8250,80000
9895,79858
9130,79762
10950,79660
10500,79150
8900,79000
9500,78955
10950,78750
7950,78521
7950,78356
7950,78076
9500,78063
10950,77821
9750,77695
9750,77500
9450,77457
8950,77029
8950,77008
8900,76791
9950,76700
8750,76569
8950,76162
8990,76155
8950,75609
8950,75569
9950,75429
9900,75000
8950,75000
8950,75000
9500,74963
7950,74889
7750,74875
8950,74747
11950,74720
8950,74457
11950,74337
8950,74308
9950,74193
8250,74179
8995,73936
9995,73894
9250,73500
10950,73376
8900,73300
9500,73172
9950,72928
7950,72880
8250,72522
9450,72000
7950,72000
9500,71366
8950,71317
10950,71000
8950,70954
9450,70908
8000,70560
9900,70552
8950,70500
10900,70453
9450,70218
8450,70116
9500,70068
10500,70000
6950,70000
9750,69103
6950,69022
9650,69000
9950,68865
9250,68723
8950,68453
9900,68238
10995,68153
10500,68000
8950,68000
9750,67762
10950,67146
9750,67110
9950,67010
10500,67003
10400,66785
8800,66550
10500,66259
9250,66082
7800,66000
9950,66000
10750,65896
10950,65785
9950,65513
9950,65463
8100,65400
9250,65259
7800,65000
9000,65000
8950,65000
8950,64966
9950,64950
8500,64914
7995,64797
8750,64772
9750,64690
10950,64630
9750,64613
8200,64383
8950,64000
9500,63881
10950,63870
9750,63328
9950,63000
10450,63000
9850,62396
9450,62377
10295,62316
9750,62292
8950,62225
9900,62222
8750,62135
9950,62024
8500,61977
9950,61930
10950,61682
9795,61568
8750,61504
8250,61384
9950,61343
9950,61254
10500,61166
9750,61149
11250,61144
8900,61127
7950,61100
11500,61100
9450,61000
7995,60724
10995,60708
8950,60532
8250,60000
8950,60000
8950,60000
9500,59295
7500,59264
8950,59000
9950,59000
9750,59000
9450,59000
9950,59000
9750,58860
8950,58829
8250,58654
7750,58300
8950,58269
9950,58136
9450,58113
12950,58058
9950,58000
10495,58000
7950,57565
10500,57413
8950,57374
9900,57179
9995,57169
9950,57124
9950,57000
8250,57000
9950,57000
8950,56259
10950,56209
9250,56074
9950,55942
9995,55844
8750,55747
10950,55478
10350,55085
9950,55061
8950,55000
10950,55000
10950,54936
8950,54875
8900,54847
10250,54554
9450,54125
9250,54000
10500,54000
7350,54000
10250,54000
10250,53285
11500,53053
8950,53000
7750,53000
9500,52968
8450,52800
8950,52548
8400,52487
9250,52383
8900,52112
8750,51712
10950,51421
8950,51235
8950,51000
8895,50925
9390,50806
8750,50469
9750,50173
9950,50000
10950,49942
9900,49585
9500,49258
9950,49000
9950,48738
10500,47750
9950,47612
10495,47500
9500,47237
8500,47171
10450,47060
8950,47014
9900,46929
8900,46000
8745,45681
8750,45549
10750,45000
9750,45000
8850,45000
7950,45000
9450,45000
9950,45000
8250,44944
9950,44597
9995,44458
9950,43818
10495,43426
7950,43000
8950,43000
9695,43000
7750,43000
9950,42750
9950,42102
9950,41586
9900,41200
10950,40214
8950,40000
8950,39222
8250,39144
10250,39000
8750,38019
9750,37759
10950,37500
10950,37111
9750,37000
8900,36954
9500,36943
9950,36923
9950,36658
8250,36000
10450,36000
10950,35512
9250,35283
8900,35000
10900,35000
9750,34114
11950,34000
7900,33847
10900,33535
10450,33000
10950,32150
9950,31588
10750,31480
9900,31307
10750,31000
10450,30634
9450,30300
10750,28500
10950,28500
10000,28000
10500,26698
12500,26000
8950,25505
10500,25000
9245,22835
10950,22705
9500,22178
10900,17345
10950,15535
9450,15110
5900,232940
6950,218118
6000,217764
5250,207114
4400,203254
6750,200732
8500,197501
6150,194765
6950,191620
5750,183277
8750,180378
6500,178800
5950,176177
6500,176000
10500,172980
8500,170000
7950,164000
5800,161775
6750,160000
6950,159968
5740,159908
6550,158492
8950,156204
6750,156169
7950,155210
7950,155000
7450,154900
7750,151300
6450,151000
7900,150000
6900,146304
5600,146197
5950,145996
6950,143560
7950,139145
8950,138500
7950,137741
9500,137178
8600,134889
5950,134660
7750,134539
7950,131500
6950,131307
7250,130025
6500,130000
7250,128960
9250,128351
8250,128006
7250,127159
5250,126478
7900,126000
6900,125778
7900,125400
7250,124910
8450,124743
7950,124591
7950,124057
6450,123403
6650,123104
7950,123077
7250,122820
7450,122290
7950,121900
7250,121545
8250,120474
8950,120263
7750,120196
8500,120000
7750,120000
5750,115877
6900,115345
6500,115157
6500,115000
7600,114258
8950,112963
7450,112307
7350,112000
7750,111602
7460,111392
9250,110901
7250,110887
6500,110634
6800,110000
8700,109540
7500,109263
7750,107516
7950,107108
9950,107000
6640,106250
8750,106150
7750,106108
5950,105856
6750,105152
6500,105135
8750,104344
7950,104150
6750,104000
7950,103121
7950,102300
8950,102005
7750,102000
6450,101855
6900,101773
8450,101159
6750,101000
8050,100732
9500,100719
7750,100487
8500,100458
7795,100192
6490,100123
7950,99971
6425,99397
8950,99374
6950,99245
8750,98742
8450,98154
7950,98000
7950,97548
8900,97534
8950,97494
8900,97085
7950,97000
6495,96302
7250,96000
9250,96000
6650,95909
6990,95700
7750,95651
6950,95000
7250,94447
9950,94079
9250,93841
7200,93090
8250,93066
8950,93039
8250,93000
6250,92830
9900,92255
7300,92096
8950,91921
6500,91900
7950,91399
7450,91082
7950,90370
8500,90345
6950,90305
7950,90011
6750,90000
8450,89983
7500,89953
8750,89800
8750,89739
8950,89520
7450,89507
9200,89096
8950,88700
7850,88500
6950,88186
7200,88000
7450,87743
6750,87613
7500,87358
7450,87083
7950,87000
7250,87000
7950,87000
8250,87000
8250,86860
6750,86109
8750,86000
8950,86000
8500,85864
8250,85565
9450,85470
7950,85200
7900,85000
8500,84988
8250,84966
8250,84472
8950,84402
7950,84123
6950,84000
7250,84000
7750,84000
8700,83850
8950,83540
6750,83405
7500,83291
7950,83133
8950,83047
7950,82700
7450,82675
5950,82595
7750,82256
6950,82103
8750,82021
8950,82000
7495,81988
7750,81930
6950,81663
7990,80486
7250,80000
6900,79000
7750,78894
7250,78689
8950,78435
8500,78260
7950,78120
6950,77000
8000,77000
7950,76382
8500,76268
7490,76151
8250,76000
9250,76000
7950,75840
9500,75799
8950,75525
8450,75323
7995,75322
8750,75226
5950,75085
8500,75000
8950,75000
8750,75000
7600,74926
7145,74785
8450,74573
5950,74567
9000,74196
7250,74151
7400,74096
8800,74093
7750,74000
7500,74000
8450,73638
7400,73460
7500,73200
8950,73116
8950,73014
7950,72703
7950,72328
7950,72222
8950,72128
7750,72090
8250,72000
7950,72000
7750,71900
8500,71825
6950,71740
7500,71500
7750,71359
5950,71263
7500,71186
8950,71054
7950,71000
6900,70939
7450,70932
8500,70597
7500,70482
8750,70124
7500,70039
9950,69904
7950,69388
9950,69320
9250,69000
9250,68988
9950,68945
5950,68285
7995,68000
8950,68000
7450,67451
8250,67266
8500,67255
8500,67100
9400,67092
7250,66880
8950,66855
9450,66843
8500,66718
6750,66168
7400,65950
8950,65500
6900,65307
7750,65254
8950,65021
6950,65006
8495,64280
10000,64000
6999,64000
8950,64000
8500,63918
8750,63634
7499,63500
9000,63266
8950,62595
6950,62581
8500,62285
8450,61906
8950,61700
8250,61648
7950,61626
7450,61510
9000,61165
7150,61000
7750,60833
5845,60600
8500,60483
8250,60476
9450,60142
6750,60050
8400,60000
7900,60000
7950,59815
8750,59326
9900,59240
6495,59164
8250,59017
6900,58952
7500,58454
7950,58341
8250,58267
8950,58000
9750,57829
8250,57787
8900,57628
8950,57537
6750,57263
7950,57144
8600,57096
7750,57000
7800,56566
8750,56307
9500,56214
7750,56132
9950,55425
7750,54439
5950,53809
10950,53133
9450,52900
8250,52700
9750,52320
7450,52287
8750,52000
8750,52000
8500,52000
8950,51874
7500,49827
7250,49640
7450,49580
8750,49170
9800,48838
7500,48576
8950,48400
8950,48242
7450,47955
8950,47633
10500,47400
7000,47360
8500,45507
7750,45410
8950,44850
8250,44826
9250,44444
7900,43720
8500,43622
7950,43532
9950,42800
8750,42317
7500,42186
6950,42000
8950,40093
8750,39800
7750,39168
8450,38945
8150,36537
8500,36000
7600,36000
7950,35821
7750,34717
7950,34000
9950,30964
8950,29000
8450,26000
8950,24000
8450,23000
7500,20544
10845,19000
8500,17016
7250,16916
6950,1
