source_a,source_b,source_r,Freq,last_update_days_ago,Web order,Spending
0,0,0,3,179,1,98
0,0,0,3,72,0,79
0,0,0,1,100,0,103
0,0,0,2,41,1,71
0,0,0,2,86,0,167
0,0,0,2,129,0,174
0,0,0,2,40,1,114
1,0,0,4,11,1,581
0,0,0,2,81,1,40
0,0,0,3,179,0,440
0,0,0,1,64,1,164
0,1,0,2,149,0,160
0,0,0,4,31,0,317
1,0,0,1,191,1,65
0,0,0,3,122,1,227
0,0,0,2,121,0,263
0,0,0,2,89,1,130
0,0,0,2,73,0,228
1,0,0,3,41,0,421
0,0,0,2,11,1,43
0,0,1,1,127,1,130
0,0,0,1,125,0,9
0,0,0,8,52,1,819
0,0,0,1,179,1,130
0,0,0,1,148,0,68
1,0,0,2,126,0,10
1,0,0,13,14,1,1443
0,0,0,3,141,0,162
1,0,0,1,105,1,130
1,0,0,7,142,1,1393
0,0,1,1,103,0,345
0,0,0,1,127,0,136
0,0,0,1,205,0,97
0,0,0,3,148,1,162
0,0,0,1,205,1,128
0,0,0,1,64,1,30
0,0,0,7,75,0,347
0,0,0,3,5,1,1370
0,1,0,3,114,1,271
0,0,0,3,140,1,104
0,0,0,1,11,1,8
0,0,0,1,120,0,114
0,0,0,1,161,0,33
1,0,0,11,11,0,1227
0,0,0,1,132,0,46
0,0,0,1,43,1,43
0,0,0,4,22,1,350
0,0,0,8,57,1,559
1,0,0,3,62,0,165
0,0,0,2,23,0,338
0,0,0,2,27,0,215
0,0,0,4,103,1,355
1,0,0,1,168,1,128
1,0,0,6,56,0,425
0,0,0,5,27,0,361
1,0,0,1,153,0,229
1,0,0,2,22,0,138
0,0,0,5,67,1,262
0,0,0,1,46,0,551
0,0,0,2,69,1,63
0,0,0,1,63,1,44
0,0,0,2,69,0,193
0,1,0,1,167,1,38
0,0,0,2,113,1,264
0,0,0,2,94,1,4
1,0,0,2,180,1,22
0,0,0,2,25,0,204
0,0,0,7,35,1,438
0,0,1,6,12,1,1161
0,0,0,3,55,0,173
0,0,0,1,116,0,158
0,0,1,1,19,0,149
0,0,0,1,28,1,174
0,0,0,7,18,1,1305
0,0,0,3,42,1,241
0,1,0,1,165,0,128
0,0,0,1,81,1,20
0,0,0,1,137,0,8
0,0,0,4,94,0,255
1,0,0,1,164,1,128
0,0,0,1,23,1,306
0,0,0,1,7,0,163
0,0,0,3,42,0,56
0,0,0,1,22,0,114
0,0,0,2,140,0,191
0,0,0,2,40,1,303
0,0,0,5,27,0,578
0,0,0,3,23,0,412
0,0,0,1,156,1,103
0,0,0,4,51,1,405
0,0,0,2,143,0,78
0,0,0,4,2,0,624
0,0,0,2,116,1,161
0,0,0,1,142,1,35
1,0,0,6,20,1,197
0,0,0,2,141,1,163
0,0,0,2,26,0,173
0,0,0,2,76,1,40
0,0,0,3,62,1,255
1,0,0,1,161,0,230
1,0,0,2,178,1,128
0,0,1,4,23,0,406
1,0,0,1,165,0,129
0,0,0,1,114,0,46
0,0,0,2,171,1,198
0,0,0,2,162,1,7
0,0,1,1,194,1,128
1,0,0,1,168,1,213
1,0,0,1,126,1,161
0,0,0,2,88,0,230
0,0,0,1,33,0,265
1,0,0,2,180,0,246
1,0,0,1,140,1,54
1,0,0,1,95,0,165
0,0,0,3,98,1,171
0,0,1,3,112,1,390
1,0,0,2,80,1,40
0,0,0,4,1,1,303
0,0,1,1,135,0,230
0,0,0,1,119,0,161
0,0,0,3,51,1,182
0,0,0,2,169,1,130
0,0,0,1,136,1,105
0,0,0,1,33,0,263
1,0,0,3,181,1,72
0,0,0,1,116,0,85
0,0,0,1,1,0,255
0,0,0,3,41,0,429
0,0,0,1,55,1,164
0,0,0,1,134,0,161
0,0,0,3,39,0,551
0,0,0,1,63,1,45
0,0,0,1,13,1,244
0,0,0,1,123,0,35
0,0,0,1,148,0,160
0,1,0,2,170,0,98
0,0,0,2,100,1,117
1,0,0,1,148,1,184
0,0,0,2,190,0,198
0,0,0,1,130,1,149
0,1,0,5,26,0,456
0,0,0,1,8,1,43
0,0,0,2,57,1,411
0,0,0,1,111,0,65
0,0,0,1,115,0,161
0,0,0,1,180,0,167
0,0,1,1,153,1,49
1,0,0,2,123,1,266
0,0,0,2,181,0,270
0,0,0,1,49,1,54
0,0,0,1,23,0,163
0,1,0,3,170,0,131
0,0,0,6,4,0,415
0,0,0,1,181,1,43
0,0,0,1,165,0,140
1,0,0,1,150,1,34
1,0,0,3,52,1,214
1,0,0,3,147,0,160
0,0,0,2,188,1,198
1,0,0,3,117,1,207
0,0,0,1,6,0,164
0,0,0,2,60,1,213
1,0,0,3,186,1,38
0,0,0,2,62,1,371
0,0,0,1,49,1,243
0,0,0,3,23,1,302
0,1,0,3,169,0,132
1,0,0,1,114,1,230
0,1,0,1,173,1,38
0,0,0,2,142,0,100
1,0,0,1,129,1,161
0,0,0,2,112,0,189
0,0,1,1,162,1,48
0,0,0,1,114,0,54
0,0,0,3,92,0,179
0,0,0,3,82,0,98
0,0,0,2,93,1,49
0,0,0,1,123,1,136
0,0,1,3,86,0,439
0,0,0,1,131,0,130
0,0,0,2,61,0,40
0,0,0,5,5,0,399
1,0,0,1,166,0,68
0,0,0,1,116,1,136
0,0,0,4,12,1,655
0,0,0,4,4,0,407
0,0,0,1,135,1,163
1,0,0,1,141,0,185
0,0,1,1,125,1,85
0,0,0,2,93,1,136
0,0,0,3,70,1,63
0,0,1,1,181,0,173
0,0,0,5,57,1,1123
0,0,0,1,140,0,60
0,0,0,1,150,0,150
1,0,0,1,209,0,127
0,0,0,2,82,0,167
0,0,0,1,8,0,135
0,0,0,1,123,0,274
0,0,1,3,99,1,67
1,0,0,1,106,1,80
0,0,0,2,78,0,463
0,0,1,1,147,1,66
0,0,0,1,13,0,148
0,0,0,1,26,1,280
0,1,0,1,168,0,247
0,0,0,2,56,1,390
0,0,0,1,56,0,44
0,0,0,2,56,1,399
0,0,0,2,91,0,230
0,0,0,2,22,1,184
0,0,1,7,86,1,213
0,0,0,1,93,1,136
1,0,0,5,79,1,588
0,0,0,1,139,0,4
0,0,0,1,121,0,85
0,0,0,1,179,1,43
0,0,0,9,11,1,378
0,0,0,1,122,0,100
0,0,0,1,162,1,252
0,0,0,15,10,0,1133
0,0,1,1,132,1,74
0,0,1,1,161,0,136
0,0,0,2,175,0,3
0,0,0,5,32,1,260
0,0,0,8,5,0,1326
0,0,0,1,176,1,98
0,0,0,1,206,0,35
0,0,0,2,24,1,242
0,0,1,2,36,1,83
0,1,0,2,168,1,345
0,0,0,2,164,1,140
0,0,1,2,98,1,138
0,0,0,2,37,0,163
0,0,0,1,200,1,43
0,0,0,1,108,1,10
1,0,0,1,113,1,130
1,0,0,3,183,1,128
0,0,0,1,54,1,105
1,0,0,3,107,1,242
0,1,0,5,59,1,598
1,0,0,2,167,0,199
0,0,0,2,82,0,130
0,0,0,3,87,0,58
0,0,0,2,23,0,142
0,0,1,1,166,0,132
0,0,0,2,61,0,104
0,1,0,2,164,0,128
0,0,0,4,57,0,272
0,0,0,2,56,0,217
0,0,0,1,202,1,30
0,0,0,4,42,0,44
0,0,0,3,115,1,514
0,0,0,5,82,1,563
0,0,0,1,18,0,43
0,0,0,2,26,0,154
0,0,0,2,50,0,80
0,0,0,2,95,1,248
0,1,0,2,25,1,259
1,0,0,2,101,0,35
0,0,0,1,108,1,138
0,0,0,3,142,0,160
0,0,0,2,177,1,101
1,0,0,3,47,0,320
0,0,0,1,85,0,98
0,0,0,2,190,1,98
0,0,0,4,86,0,145
0,0,0,1,35,1,58
0,0,0,1,85,1,30
1,0,0,4,26,1,489
1,0,0,5,104,0,1416
0,0,0,2,94,1,130
0,0,1,2,96,0,161
0,1,0,3,181,1,131
0,0,0,2,187,0,354
0,0,0,2,124,0,185
1,0,0,2,185,0,34
0,0,0,2,66,0,161
0,0,1,2,138,0,638
1,0,0,1,167,0,159
1,0,0,2,111,0,232
0,0,0,1,59,1,375
0,0,0,2,167,0,109
